1 4	1 Abortus
1958 1	2035 "Delirium acuta (akut delirium)"
1959 9	2036 Elephantiasis
1960 1	2037 "Emphysema universalis (universelt emphysem)"
1961 4	2038 "Endometritis puerperalis"
1962 2	2039 Forkommenhed
1963 1	2040 "Fractura costarum  sin."
1964 3	2041 "Følger efter operation for umbilical hernia"
1965 2	2042 "Gastromalacia (Gastrom.)"
1966 1	2043 "Hernia cruralis incarcerata"
1967 1	2044 Hjernelammelse
1968 3	2045 Hjertekollaps
1969 5	2046 "Ileus chronicus (Ileus chron.)"
1970 2	2047 "Ileus e constrictione"
1971 4	2048 Katatonia
1972 13	2049 "Knusning af højre underekstremitet"
1973 1	2050 "Kollaps efter operation"
1974 1	2051 "Laparotomia explorativa"
1975 5	2052 "Lungelammelse  (Lungelamhed)"
1976 1	2053 Mastitis
1977 5	2054 Metrorrhagia
1978 1	2055 "Oedema glottidis (Ødema glottidis)"
1979 3	2056 "Pectoralia acuta (Pector. acuta)"
1980 1	2057 "Peritonitis diffusa acuta"
1981 1	2058 "Phthisis pulmonum acuta (Pthisis pulm. acuta)"
1982 4	2059 "Retroflexio uteri fixata"
1983 1	2060 "Sarkom i underlivet"
1984 1	2061 "Stenosis "
1985 1	2062 "Snitsår i halsen"
1986 19	2063 "Strictura cicatricialis oesophagi post cauterisationem"
1987 1	2064 Thymus
1988 1	2065 "Tumor glandulae ingv. carcinomatos."
1989 4	2066 "Tumor nasopharyngis malignus"
1990 1	2067 "Ulcus cancrosum ventriculi"
1991 1	2068 "Vitia organicae abdominis"
1992 1	2069 Vulnus
1993 2	2070 "Abscessus retroperitonealis"
1994 7	2071 Ansigtskræft
1995 2	2072 "Apoplexia spinalis"
1996 3	2073 "Cancer intestinalis (duodeni) et hepatis"
1997 1	2074 "Cancer ovariorum"
1998 2	2075 "Cancer pleurae et peritonei"
1999 1	2076 "Cancer uteri seq."
2000 1	2077 "Cyanosis congenita"
2001 1	2078 "Delirium traumaticum"
2002 1	2079 "Formentlig død ved et alkoholisk eklamptisk anfald"
2003 4	2080 "Gangraena pedis sin."
2004 16	2081 "Gastroenteritis acuta in chron."
2005 1	2082 "Icterus e strictura ductus choledochi"
2006 2	2083 Imbecillitas
2007 2	2084 Kirtelbetændelse
2008 3	2085 "Kronisk hudsygdom"
2009 1	2086 "Kræft i leveren"
2010 2	2087 "Meningitis suppurativa"
2011 1	2088 "Morbus chron. cerebri (Morbus cerebri chron.)"
2012 2	2089 "Nephritis haemorrhagica"
2013 3	2090 "Phlegmone pedis"
2014 2	2091 "Sarcoma pelvis"
2015 3	2092 "Scirrhus vesicae"
2016 1	2093 "Selvmord ved overskæring af halsårerne"
2017 1	2094 Spiserørskræft
2018 2	2095 "Tuberculosis coxae et pulmonum"
2019 1	2096 "*mangler tydning eller verificering"
2020 2	2097 "Cancer ventriculi et peritonei"
2021 9	2098 "Erysipelas ambulans"
2022 2	2099 "Gangraena extremitatum inf. dext."
2023 1	2100 "Paresis post diphteritis"
2024 1	2101 Røgforgiftning
2025 3	2102 Betændelse
2026 3	2103 "Bronchitis chronica (foetida)"
2027 2	2104 "Calculus renis duplex"
2028 17	2105 "Cancer cerebri et pulmonis"
2029 11	2106 "Cancer intestini crassi"
2030 2	2107 "Cor adiposum"
2031 1	2108 "Erysipelas ambulans neonatorum"
2032 1	2109 "Erysipelas gangraenosum"
2033 2	2110 "Formentlig alderdomssvaghed"
2034 1	2111 "Fractura costarum p.p."
2035 2	2112 "Gangraena faucium"
2036 2	2113 "Hjernelæsion ved vold"
2037 2	2114 "Indvendig dannelsesfejl"
2038 3	2115 "Infarctus pulmonum sin."
2039 2	2116 "Kighoste med katarrhalsk pneumoni"
2040 1	2117 "Knusning ved nedstyrtning"
2041 1	2118 "Medfødt tillukning af tarmkanalen"
2042 8	2119 "Metastases post cancer coli"
2043 6	2120 Metroperitonitis
2044 2	2121 "Neuralgia capitis"
2045 1	2122 "Noma buccalis"
2046 5	2123 Nyrelidelse
2047 2	2124 "Oedema acuta (Ødema acuta)"
2048 1	2125 "Otitis purulenta"
2049 1	2126 "Pneumonia terminalis"
2050 1	2127 "Revolverskud gennem højre tinding"
2051 1	2128 "Sarcoma retroperitonealis"
2052 2	2129 "Sequelae peritonitis et appendicitis"
2053 2	2130 "Sequelae scarlatinae"
2054 10	2131 "Suppuration på hovedet"
2055 17	2132 "Sår i knæet"
2056 6	2133 Tarminvagination
2057 1	2134 "Tuberculosis intest. et peritonei"
2058 2	2135 "Tumor mediastini"
2059 1	2136 Uranoplastik
2060 2	2137 "Vitium organicum cordis"
2061 5	2138 "Abscessus ad vesicam"
2062 3	2139 Achondroplasia
2063 1	2140 "Akut brystlidelse"
2064 1	2141 "Aneurysma cru?? aortae"
2065 1	2142 "Arteriosclerosis arteriae coronariae ( Arteriosclerosis aa. coronariae)"
2066 1	2143 "Blodprop i hjertet"
2067 1	2144 "Blodprop under barselseng"
2068 1	2145 "Bronchitis acuta in chron."
2069 1	2146 "Cancer labii inf."
2070 2	2147 "Cancer pulmon. et cerebri"
2071 3	2148 "Cancer regionis praetrachealis"
2072 1	2149 "Cancer tracheae"
2073 6	2150 Cancrosa
2074 3	2151 "Catarrhus gastrointestinalis post morbilli"
2075 1	2152 "Contracturae variae"
2076 1	2153 "Croupøs lungebetændelse"
2077 4	2154 "Deliria dyshaemica in mb. cordis"
2078 1	2155 "Dementia et confusio senilis"
2079 1	2156 "Diarrhoea hectica"
2080 2	2157 "Dystrophia (Dystrofi)"
2081 1	2158 "Dårlig pasning"
2082 1	2160 "Fractura colli femoris sequelae"
2083 1	2161 "Følger af koldbrand"
2084 1	2162 "Gangraena intestini tenuis ex incarceratione interna"
2085 2	2163 "Haematocele retrouterina"
2086 9	2164 Hareskår
2087 2	2165 Hjertebetændelse
2088 13	2166 "Hydromeningitis scrophulosa"
2089 8	2167 "Laesiones variae"
2090 2	2168 Lithiasis
2091 8	2169 Luftrørskrampe
2092 1	2170 "Luxatio femoris"
2093 1	2171 "Meningitis baseos"
2094 2	2172 "Meningitiske symptomer"
2095 2	2173 "Metroperitonitis puerperalis"
2096 52	2174 "Moribund ved indlæggelsen"
2097 8	2175 "Oedema acuta in pulmonum"
2098 15	2176 "Organisk hjernesygdom"
2099 4	2177 "Pericarditis tuberculosa"
2100 2	2178 "Pneumonia pulmonum dext. (Pneumonia pulm. dext.)"
2101 1	2179 Pulsåresvulst
2102 4	2180 "Pyonephrosis dext."
2103 9	2181 "Sarcomata abdominis et hepatis"
2104 1	2182 "Sequelae operationis (Sequelae post operationem)"
2105 2	2183 "Skudsår i hjerteregionen ved ictus cordis"
2106 4	2184 Spondylarthrocace
2107 4	2185 "Tuberculosis pedis sin. et intestini"
2108 1	2186 "Tumor cancrosus pulmon."
2109 6	2187 "Ulcus ventriculi et duodeni"
2110 2	2188 "Abscessus cutaneus multiplex"
2111 1	2189 "Asthma spasmodicum"
2112 1	2190 Calculus
2113 1	2191 "Cancer oesophagi et ventriculi"
2114 1	2192 "Delirium alcoholicum et senilis"
2115 3	2193 "Erysipelas dorsi"
2116 1	2194 "Gigtisk hjerteaffektion"
2117 3	2195 "Knusning af hjerneskallen"
2118 2	2196 "Kronisk hjernelidelse"
2119 1	2197 "Kronisk prostatasygdom"
2120 11	2198 "Langvarig fødsel"
2121 1	2199 "Meningitis purulenta ex otitide media c. perforat."
2122 1	2200 "Phthisis infantilis"
2123 7	2201 "Pneumonia catarrhalis acuta  (Pneumonia catarrh. acut.)"
2124 0	2202 Prosopalgi
2125 1	2203 "Putrid infektion"
2126 1	2204 "Sår i tarmkanalen"
2127 2	2205 "Anaemia acuta post partum"
2128 2	2206 "Atrophia congenita"
2129 1	2207 "Betændelse i foden"
2130 2	2208 "Cancer pleurae et pulmonum"
2131 1	2209 "Carcinoma pylori et peritonei"
2132 1	2210 "Hurtig død"
2133 2	2211 Laryngospasmus
2134 3	2212 "Meningitis basilaris"
2135 7	2213 "Meningitis universalis"
2136 1	2214 "Multipel cancer"
2137 2	2215 Navlebrok
2138 1	2216 "Nephritis febriculosa (Nephritis febr.)"
2139 1	2217 "Perimetritis e laparotomia"
2140 1	2218 "Phlebothrombosis femoris"
2141 2	2219 "Phlegmone antebrachii"
2142 4	2221 Pyosalpingitis
2143 1	2222 "Sarcomata faciei"
2144 1	2223 "Sequelae cancri mammae sin. (Seq. cancer mammae sin.)"
2145 4	2224 "Sequelae meningitis cerebrospinalis"
2146 1	2225 Stikflod
2147 1	2226 "Tuberculosis glandulae bronchialis et cervicalis"
2148 1	2227 "Tuberculosis pulmonum duplex cavernosa"
2149 1	2228 "Tuberculosis renum"
2150 3	2229 "Betændelse af låret"
2151 1	2230 "Cancer mediastini et pulmonum"
2152 1	2231 "Cancer pancreatis et hepatis"
2153 6	2232 "Degeneratio organorum alc."
2154 3	2233 "Enormt lyskebrok"
2155 2	2234 "Epithelioma faciei"
2156 1	2235 "Hernia inguinalis incarcerata"
2157 5	2236 Hjerneslag
2158 2	2237 Induratio
2159 0	2238 "Influenza cum bronchit."
2160 6	2239 "Kræft universalis"
2161 1	2240 "Lamhed i svælgets muskler"
2162 1	2241 "Morbus Mölleri (Morbus Möller-Barlow)"
2163 1	2242 "Nephritis post diphterit."
2164 2	2243 Nervosismus
2165 5	2244 "Neuritis alcoholica"
2166 2	2245 "Periostitis gangraenosa maxillae inf."
2167 1	2246 "Peritonitis septica"
2168 3	2247 "Phlegmone perinei"
2169 1	2248 Struma
2170 1	2249 "Tumor cysticus ovarii (Tumor cyst. ovarii)"
2171 6	2250 "Abscessus colli"
2172 1	2251 "Abscessus hepatis e appendicitide"
2173 11	2252 "Abscessus pelvis"
2174 3	2253 "Abscessus stercoralis"
2175 1	2254 "Actinomycosis pulmonum"
2176 10	2255 "Akut kollaps"
2177 2	2256 "Alkoholisk krampeanfald"
2178 1	2257 "Angina pectoris et coronar."
2179 2	2258 "Anthrax labii superiori"
2180 1	2259 "Arthropatia gonorrh."
2181 1	2260 "Atheromatøs degeneration af hjertearterierne"
2182 2	2261 "Blødning fra næse og øre"
2183 1	2262 "Brud af ribben"
2184 9	2263 Bækkenbetændelse
2185 1	2264 "Cancer prostatae et hepatis"
2186 1	2265 "Cancer vaginae et uteri"
2187 0	2266 "Cancer vulvae"
2188 3	2267 "Carcinoma mucosa"
2189 1	2268 "Colica (Cholica, kolik)"
2190 6	2269 "Confusio alcoholica"
2191 1	2270 "Contusion af brystet"
2192 0	2271 "Deformatio genitalis"
2193 1	2272 "Deformitates congenitae"
2194 1	2273 "Diverticulum oesophagi"
2195 17	2274 "Embolia cordis postpuerperalis"
2196 16	2275 "Febris gastrica  (Febr. gastr.)"
2197 1	2276 "Febris typhoidea in graviditate"
2198 7	2277 "Galoperende svindsot (Galoperende lungesvindsot)"
2199 1	2278 Gigtsvaghed
2200 2	2279 Hjertevattersot
2201 1	2280 Hyperplasia
2202 2	2281 "Kronisk rheumatisme"
2203 1	2282 "Kræft i halsen"
2204 2	2283 "Kvalt i mudder"
2205 2	2284 "Lungeapopleksi (Lungeapoplexi)"
2206 11	2285 Lungelidelse
2207 3	2286 "Læsion af brystkassen"
2208 4	2287 "Metrorrhagia in partu"
2209 1	2288 "Morbus cordis in gibbo"
2210 1	2289 "Mors in puerperio"
2211 9	2290 "Ophtalmoblennorrhoea gonorrh."
2212 3	2291 "Paresis spastica"
2213 1	2292 "Pemphigus vulgaris"
2214 1	2293 "Pericarditis serofibrinosa"
2215 1	2294 "Peritonitis (non puerperalis)"
2216 1	2295 "Phlegmone femoris"
2217 1	2296 "Phlegmone pectoris"
2218 1	2298 "Pneumonia crouposa lobaris sup."
2219 2	2299 "Pyelitis calculosa"
2220 0	2300 Pylephlebitis
2221 1	2301 Rygradskrumning
2222 1	2302 "Sandsynligvis mors in ebrietate"
2223 1	2303 Slagflod
2224 2	2304 "Struma maligna"
2225 3	2305 "Thrombosis extremitatis inf. dext."
2226 2	2306 "Tuberculosis pulmonum utriusque (Tuberculosis pulm. utr.)"
2227 2	2307 "Ulykkeligt fald"
2228 4	2308 Underlivssvaghed
2229 2	2309 Venebetændelse
2230 1	2310 "Veneficium solutionis hydrat. natrii"
2231 6	2311 Ørebetændelse
2232 1	2312 "Akut underlivsbetændelse"
2233 1	2313 "Atrophia senil. organorum"
2234 1	2314 Brandsår
2235 6	2315 "Brud af nakkebenet"
2236 4	2316 "Cancer intestini sequelae"
2237 1	2317 "Carcinoma uteri"
2238 4	2318 "Caries femoris"
2239 1	2319 "Colitis chronica"
2240 1	2320 "Contusio manu"
2241 1	2321 "Diphteritisk halsbetændelse"
2242 2	2322 "Drab af forlovede og barn"
2243 1	2323 "Formentlig alkoholisme"
2244 1	2324 "Formentlig kronisk alkoholisme"
2245 1	2325 "Formentlig kærestesorg"
2246 7	2326 "Formentlig selvmord ved drukning"
2247 1	2327 "Formentlig selvmord ved forgiftning"
2248 9	2328 "Formentlig selvmord ved nedstyrtning"
2249 7	2329 "Formentlig sindsforvirring"
2250 5	2330 "Formentlig økonomiske bekymringer"
2251 1	2331 Gastrica
2252 4	2332 "Hernia cerebralis incarcerata"
2253 4	2333 "Hernia cruralis"
2254 2	2334 "Ileus e strangul. in hernia epigastr."
2255 1	2335 "Knusning af kraniet"
2256 1	2336 "Kræft i venstre øre"
2257 0	2337 Lungekræft
2258 1	2338 "Morbus cordis post influenza"
2259 1	2339 "Nedstyrtning i beruset tilstand"
2260 2	2340 Nervesygdom
2261 1	2341 "Otitis media chron."
2262 3	2342 "Otitis media chron. sin. supp."
2263 1	2343 "Phlebitis cruris dext."
2264 1	2344 "Phthisis cavernosa pulm. dext."
2265 3	2345 "Pludselig død i barselseng"
2266 4	2346 Raserianfald
2267 1	2347 "Stiksår i hjertet"
2268 9	2348 "Tuberculosis genus et pulmonum"
2269 1	2349 "Tussis pulm."
2270 1	2350 "Udsvævende levned"
2271 1	2351 Underlivsaffektion
2272 1	2352 "Utilfreds med sin stilling"
2273 2	2353 "Vulnus sclopetarium capitis"
2274 1	2354 "Akut tarmbetændelse"
2275 33	2355 "Angives at lide af ligfald"
2276 2	2356 Anthrax
2277 4	2357 "Atrophia syphilitica  (Atrophia syph.)"
2278 1	2358 "Bronchopneumonia variae"
2279 1	2359 "Cancer maxillae inf."
2280 1	2360 "Cancer occultus"
2281 5	2362 "Catarrhus ventriculi et intest."
2282 3	2363 "Croupøs pneumoni"
2283 1	2364 "Degeneratio cordis post tracheobronchitis"
2284 7	2365 "Diabetes mellitus cerebralis"
2285 4	2366 "Diarré og udmattelse"
2286 1	2367 "Diphteritisk svælg- og strubebetændelse"
2287 1	2368 "Død uden foregående sygdom"
2288 2	2369 "Enteritis ulcerativa med abscesdannelser"
2289 2	2370 "Epileptiforme convulsioner"
2290 1	2371 "Formentlig opiumforgiftnimg"
2291 1	2372 "Følger af skarlagensfeber"
2292 2	2373 Glandelsvulst
2293 2	2374 Glottisødem
2294 5	2375 "Hemiplegia dext."
2295 2	2376 Hjerneaffection
2296 1	2377 "Ileus subchronicus"
2297 0	2378 "Insufficientia mitralis"
2298 1	2379 "Laryngitis stridulosa (Laryng. stridul.)"
2299 4	2380 "Lues tertiaria"
2300 4	2381 Lårbensbrud
2301 1	2382 "Miseries magnae"
2302 2	2383 "Morbus medullae spinalis chron."
2303 7	2384 "Myxoedema infant."
2304 1	2385 "Måske pludselig død"
2305 1	2386 "Nephritis sub."
2306 6	2387 "Ossøs tuberkulose i venstre hofte med åben absces"
2307 1	2388 "Paraplegia (paraplegi)"
2308 4	2389 "Paresis progressiva"
2309 3	2390 "Peritonitis e perforatione ventriculi"
2310 1	2391 "Peritonitis post ovariotomiam"
2311 7	2392 "Peritonitis universalis e perforatione"
2312 3	2393 Pharyngitis
2313 1	2394 "Pleuritis exsudativa"
2314 8	2395 "Pneumonia senilis"
2315 1	2396 "Pneumonia totalis dext. croup."
2316 1	2397 "Sandsynligvis hjertesygdom"
2317 5	2398 Sequelae
2318 1	2399 "Sequelae ambustionis"
2319 7	2400 Skoldning
2320 1	2401 Slagtilfælde
2321 14	2402 "Sædefødsel (Sædestilling)"
2322 1	2403 Tarmblødning
2323 7	2404 "Tuberculosis miliaris pulm."
2324 1	2405 "Tumor ovarii et uteri"
2325 1	2406 "Tumores abdominis"
2326 14	2407 Underlivsforhærdelse
2327 4	2410 "Abscessus tonsillaris"
2328 2	2411 "Akut sepsis efter kejsersnit"
2329 2	2412 "Anencephalus (Anencephali)"
2330 5	2413 "Betændelse efter et benbrud"
2331 2	2414 "Blodtab efter fødsel"
2332 3	2415 "Cancer pulmonum et ventriculi"
2333 3	2416 "Cancer renis sin."
2334 1	2418 "Colica inflammatoria"
2335 3	2419 "Forblødning af ukendt årsag"
2336 1	2420 "Forgiftning ved kuldamp"
2337 6	2421 "Forviklede familieforhold"
2338 3	2422 "Fractura cruris cum gangraena"
2339 2	2423 "Hepatitis acuta"
2340 1	2424 "Hidsig hjernevattersot"
2341 1	2425 "Hjernebetændelse efter læsion"
2342 3	2426 "Hydrocephalus congenit."
2343 2	2427 "Insufficientia et stenosis mitralis"
2344 4	2428 "Kvælning af røg"
2345 3	2429 "Medfødt hjertefejl"
2346 1	2430 "Melancholia anxiosa"
2347 2	2431 "Meningitis post fracturam cranii"
2348 5	2433 "Mors repentina in delirio"
2349 1	2434 "Perforatio intestin."
2350 1	2435 "Peritonitis post operationem"
2351 1	2436 "Phlegmasia alba dolens"
2352 1	2438 "Pneumonia variae"
2353 4	2439 "Progressiv bulbærparalyse"
2354 1	2440 "Ruptur af indre organer"
2355 3	2441 "Salpingitis duplex"
2356 4	2442 "Sandsynligvis sygelig sjælstilstand"
2357 3	2443 "Septicaemia (kryptogenetisk)"
2358 31	2444 "Septisk enteritis"
2359 2	2445 "Stenosis tracheae"
2360 3	2446 "Suicidium per strangulationem"
2361 0	2447 "Suppurationes variae"
2362 2	2448 "Tuberculosis intestini miliaris acuta"
2363 12	2449 "Tæring efter mæslinger"
2364 1	2450 "Veneficium acidi muriatici"
2365 2	2451 "Åbent lårbrud"
2366 1	2452 "Abscessus cerebelli"
2367 1	2453 "Afrivning af hovedhuden ved Necrosis cranii"
2368 17	2454 "Akut ledde-rheumatisme"
2369 1	2455 "Akut lungetuberkulose"
2370 1	2456 "Akut nyrebetændelse"
2371 2	2457 "Anaemia cerebri"
2372 1	2458 "Appendicitis acuta in hernia crur. incarcerata"
2373 1	2459 "Bronchitis l. gr. (Bronchitis levi gradu)"
2374 1	2460 "Brud af lårbenet"
2375 11	2461 Cerebrallidelse
2376 9	2462 "Colostomia (Kolostomi)"
2377 1	2463 Cystonephritis
2378 6	2464 "Cystopyelitis chron."
2379 1	2465 "Embolia pulmonum in puerperio"
2380 2	2466 Endometritis
2381 3	2467 "Erysipelas cruris"
2382 2	2468 "Extrophia vesicae"
2383 2	2469 "Febris typhoidea, recidiv"
2384 1	2470 Fibromyoma
2385 1	2471 "Syreforgiftning (Forgiftning ved syre)"
2386 1	2472 "Gliosarcoma retinae"
2387 1	2473 "Haemorrhagia mening. et traumatica"
2388 12	2474 "Haemorrhagia peritonealis"
2389 2	2475 "Hernia omentalis"
2390 2	2476 "Herniotomia (Herniotomi)"
2391 1	2477 "Hydronephrosis sin. cong."
2392 2	2478 "Ikke levedygtig"
2393 4	2479 "Influenza cerebralis"
2394 3	2480 "Insultus apoplectiformis"
2395 5	2481 "Katarrhalsk pneumoni"
2396 1	2482 "Kronisk hoftebetændelse"
2397 2	2483 "Kronisk sindssvaghed"
2398 19	2484 "Kronisk vattersot"
2399 2	2485 "Kræft i brystet med kræftmetastaser"
2400 4	2486 "Kvælning ved ulykkestilfælde"
2401 7	2487 "Lymphangiomata colli"
2402 2	2488 "Mania gravis"
2403 5	2489 "Metrorrhagia in graviditate"
2404 3	2490 "Morbus chr."
2405 1	2491 "Måske apoplexia cerebri"
2406 1	2492 "Nedstyrtning i vildelse"
2407 0	2493 "Nephritis chron. interstitialis"
2408 0	2494 "Neuralgia (Neuralgi)"
2409 0	2495 "Osteomyelitis femoris dext."
2410 2	2496 Ovariotomi
2411 1	2497 "Ozoena luetica"
2412 2	2498 "Parese i underekstremiteterne"
2413 1	2499 "Perinephritis suppurativa"
2414 2	2500 "Peritonitis e appendicitide"
2415 1	2501 "Placenta praevia"
2416 2	2502 "Pneumonia crouposa totalis dext. et lobus sup. sin."
2417 0	2503 "Pneumonia ossium et pulmonum"
2418 1	2504 "Ruptura funiculi"
2419 1	2505 "Salpingitis tuberculosa"
2420 3	2506 "Sarcoma uteri"
2421 2	2507 "Sarcomatosis hepatis"
2422 1	2508 "Scarlatina duplex"
2423 3	2509 "Scarlatina puerperalis (Scarlatina in puerperio)"
2424 2	2510 "Sepsis puerperalis"
2425 1	2511 Strubekatar
2426 2	2512 "Suicidium (Suspensio)"
2427 1	2513 "Tillukning af endetarmen"
2428 4	2514 "Tuberculosis ossium et pulm."
2429 11	2515 "Tuberkulose i lungehinden"
2430 1	2516 "Ulykkestilfælde ved nedstyrtning af tømmer"
2431 1	2517 "Uraemia acuta (Uræmia acut.)"
2432 0	2518 "Vandrende pneumoni"
2433 1	2519 Vandrerosen
2434 4	2520 "Vulnus sclopetarium abdominis"
2435 3	2521 "Tuberculosis variae"
2436 2	2522 "Abscessus retrorenalis e ostitide"
2437 0	2523 "Aflivning ved skud"
2438 3	2524 "Apoplexia cerebri. Recidiv."
2439 1	2525 "Atrophia tuberculosa"
2440 2	2526 "Bronchitis in tuberculosa"
2441 2	2527 "Cancer internus"
2442 1	2528 Cirrhosis
2443 11	2529 "Coxitis suppurativa  (Coxitis supp.)"
2444 2	2530 "Cystopyelitis calculosa"
2445 1	2531 "Diarrhoea sanguinea"
2446 1	2532 "Død uden påvist sygdom"
2447 1	2533 "Encephalopathia alcoholica"
2448 1	2534 "Endocarditis tuberculosa"
2449 3	2535 "Enterocatarrhus chron."
2450 1	2536 "Enterocolitis chron."
2451 1	2537 "Erysipelas capitis"
2452 5	2538 "Formentlig brud af hjerneskallen"
2453 1	2539 "Formodentlig Morbus cordis"
2454 2	2540 "Fraktur af overarm"
2455 3	2541 "Fremskridende lamhed"
2456 5	2542 "Frosset ihjel"
2457 5	2543 "Gangraena intestinalis"
2458 1	2544 Glioma
2459 1	2545 "Haemophilia (Hæmofili)"
2460 6	2546 "Haemorrhagia in partu"
2461 1	2547 "Hepatitis suppurativa"
2462 1	2548 "Hugsår i benet"
2463 2	2549 "Hydrops universalis"
2464 1	2550 "Hypertrofi af hjertet"
2465 2	2551 Hysteromelankoli
2466 6	2552 "Ileus e incarceratione interna"
2467 3	2553 "Inversio completa uteri"
2468 2	2554 "Kronisk hjerte- og karsygdom"
2469 2	2555 "Laryngitis acuta"
2470 1	2556 "Lues inveterata"
2471 6	2557 "Lunge- og knogletuberkulose"
2472 1	2558 "Lymphosarcoma colli  (Lymphosarcomata colli)"
2473 1	2559 "Mania in senilitate"
2474 2	2560 "Melancholia agitata in senilitate"
2475 1	2561 "Morbus maculosus Werlhofii"
2476 1	2562 "Morbus renum"
2477 1	2563 "Måske gigtfeber"
2478 3	2564 "Necrosis pancreatis"
2479 3	2565 Noma
2480 1	2566 "Overkørsel af automobil"
2481 1	2567 "Parametritis puerperalis"
2482 1	2568 "Parotitis duplex"
2483 1	2569 "Peritonitis purulenta diffusa e perforatione processus vermiform."
2484 1	2570 "Peritonitis suppurativa"
2485 1	2572 "Pyelonephritis in graviditate"
2486 4	2573 "Rheumatisme i hjertet"
2487 1	2574 "Sandsynligvis morbus cordis"
2488 1	2575 "Sarcoma cystis ovarii"
2489 1	2576 "Sarcoma glandularum colli"
2490 4	2577 "Septicaemia puerperalis"
2491 1	2578 "Tarmslyng efter diarré"
2492 2	2579 "Tuberculosis pulmonum et vesicae (Tub. pulm. et vesicae)"
2493 2	2581 "Febris scarlatina (Febris scarlatinosa)"
2494 4	2582 "Ileus in graviditate"
2495 1	2584 "Akut hjernebetændelse"
2496 3	2585 "Arteriosclerosis cordis et universalis"
2497 1	2586 "Atrofi af nyrerne"
2498 1	2587 "Bronchitis capillaris efter mæslinger"
2499 2	2588 "Bronchitis capillaris in reconvalescentia post tussem convulsivam"
2500 5	2589 "Cancer cerebri"
2501 7	2590 "Cancer glandulae"
2502 1	2591 "Cancer uteri et peritonei"
2503 0	2592 "Død straks efter forløsning"
2504 1	2593 "Enteritis suppurativa"
2505 1	2594 Epityphlitis
2506 6	2595 "Kronisk colitis-ødem"
2507 1	2596 "Kronisk emfysem"
2508 1	2597 Livstræthed
2509 2	2598 "Morbus infectus e ictero natura incerta"
2510 1	2599 "Morbus pulmonum internus  (Morb. pulmon. int.)"
2511 4	2600 "Mors repentina post croup"
2512 1	2601 Navleblødning
2513 1	2602 Perimetritis
2514 1	2603 "Peritonitis purulenta et diffusa"
2515 1	2604 "Pneumonia hypostatica dextra"
2516 1	2605 Salpingo-oophoritis
2517 2	2606 "Sarcoma i lungen"
2518 1	2607 "Sarcomatosis post osteosarcoma"
2519 11	2608 "Scoliosis  (Skoliosis)"
2520 2	2609 "Sequelae appendectomiae"
2521 2	2610 Skrumpenyre
2522 1	2611 Suppuration
2523 2	2612 "Svulst i nyren"
2524 3	2613 Tarmforstoppelse
2525 1	2615 "Tuberculosis pulmonum et laryngis et urogenitalis"
2526 1	2616 "Tuberculosis pulmonum et vesicae  (Tub. pulm. et vesicae)"
2527 2	2617 "Tumor sarcoma colli "
2528 12	2618 Ulykkestilfælde?
2529 1	2619 Vandkopper
2530 2	2620 "Ambustio cruris"
2531 1	2621 "Atrophia renum"
2532 3	2622 "Blødning i underlivet fra bristning af leveren"
2533 1	2623 "Bronchopneumonia capillaris"
2534 1	2624 "Cancer flexura sigmoideae"
2535 1	2625 "Cancer retinae"
2536 1	2626 "Cancer sup."
2537 5	2627 "Corpus alienum oesophagi"
2538 2	2628 "Dilatatio ventriculi sinistra"
2539 19	2629 "Embolia arteriae coronariae  (Embolia art. coron.)"
2540 2	2630 "Empyema pleurae sin."
2541 1	2631 "Fald fra betydelig højde"
2542 2	2632 "Haematoma durae matris"
2543 2	2633 "Hernia gangraenosa"
2544 1	2634 "Knusningslæsion af højre ben og arm"
2545 6	2635 "Koldbrand i foden"
2546 1	2636 "Kronisk ernæringssygdom"
2547 1	2637 Mediastinitis
2548 1	2638 "Nephritis parenchym."
2549 5	2639 Nervelamhed
2550 1	2640 "Nyre- og blærebetændelse"
2551 1	2641 "Penetrerende abdominalsår"
2552 1	2642 Periostitis
2553 2	2643 "Peritonitis post gastroenterostomi"
2554 4	2644 "Phlegmone sub."
2555 3	2645 "Pludselig død som følge af en stærk hæmolyse"
2556 5	2646 "Pneumonia crouposa in graviditate"
2557 2	2647 "Pneumonia duplex acuta  (Pneumonia dupl. acut.)"
2558 2	2648 "Ruptura urethrae"
2559 1	2649 "Septicaemia post pneumonia croup."
2560 1	2650 "Sequelae amputationis cruris"
2561 5	2651 Strubetæring
2562 2	2652 "Svulst i brysthulen"
2563 1	2653 "Tracheobronchitis membranacea"
2564 1	2654 "Tumor cysticus renis utriusque"
2565 4	2655 "Ulcus cancrosum intestini crassi"
2566 2	2656 "Bronchitis febrilis"
2567 6	2657 "Cancer dorsi"
2568 1	2658 "Cancer organorum pelvis"
2569 2	2659 "Enteritis mucosa"
2570 8	2660 "Formentlig akut diarré"
2571 0	2661 "Formentlig død af drik"
2572 1	2662 "Følger af gastrisk feber"
2573 1	2663 "Hektisk feber"
2574 2	2664 "Influenza senilis"
2575 1	2665 "Kronisk brystlidelse"
2576 2	2666 "Kræft i skulderen"
2577 8	2667 "Sepsis e appendicitide phlegmonosa"
2578 1	2668 "Svulst i underlivet"
2579 5	2669 "Tumor albus genus"
2580 0	2670 "Tumor cancrosus"
2581 2	2671 "Akut lungesvindsot"
2582 1	2672 "Angina diphteritica"
